Link,Abstract,Author Keywords,Index Keywords
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148689363&doi=10.1016%2fj.jes.2022.11.017&partnerID=40&md5=1d2594ee577a75fd9c197e0a9e020417","A study was conducted on aerosol-radiation interactions over six cities in this region within the 2015–2019 period. WRF-Chem simulations on 2017 showed that based on the six-city average, the aerosol load (PM2.5 concentrations) of 121.9, 49.6, 43.3, and 66.3 µg/m3 in January, April, July, and October, mainly lowered the level of downward shortwave radiation by 38.9, 24.0, 59.1, and 24.4 W/m2 and reduced the boundary layer height by 79.9, 40.8, 87.4, and 31.0 m, via scattering and absorbing solar radiation. The sensitivity of meteorological changes to identical aerosol loads varied in the order July &gt; January &gt; October and April. Then, the cooling and stabilizing effects of aerosols further led to increases in PM2.5, by 23.0, 3.4, 4.6, and 7.3 µg/m3 respectively in the four months. The sensitivity of the effect of aerosols on PM2.5 was greatest in January rather than in July, contrary to the effect on meteorology. Moreover, a negative linear relation was observed between daily BLH reductions and aerosol loads in fall and winter, and between PM2.5 increases and aerosol loads in all seasons. With the PM2.5 pollution improvements in this region, the aerosol radiative forcing was effectively reduced. This should result in daily BLH increases of 10–24 m in fall and winter, and the estimates in Beijing agreed well with the corresponding results based on AMDAR data. Additionally, the reduction in aerosol radiation effects brought about daily PM2.5 decreases of 1.6-2.8 µg/m3, accounting for 7.0%–17.7% in PM2.5 improvements. © 2022","Aerosol; Boundary layer height (BLH); North China; PM2.5; Radiative forcing","Atmospheric radiation; Boundary layer flow; Boundary layers; Radiation effects; Aerosol-radiation interactions; Boundary layer height; Boundary layer heights; Cooling effects; North China; PM 2.5; Radiative forcings; Short-wave radiation; Stabilizing effects; WRF/Chem; Aerosols; aerosol; aerosol composition; boundary layer; computer simulation; concentration (composition); numerical model; radiative forcing; shortwave radiation; solar radiation; China"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146897928&doi=10.1088%2f1751-8121%2facb097&partnerID=40&md5=51253b99e703ddf7d16a5a5480ec0dab","The study of the dynamics of entanglement measures after a quench has become a very active area of research in the last two decades, motivated by the development of experimental techniques. However, exact results in this context are available in only very few cases. In this work, we present the proof of the quasiparticle picture for the dynamics of entanglement entropies for two disjoint blocks in the XY chain after a quantum quench. As a byproduct, we also prove the quasiparticle conjecture for the mutual information in that model. Our calculations generalize those presented in Fagotti and Calabrese (2008 Phys. Rev. A 78 010306) to the case where the correlation matrix is a block-Toeplitz matrix, and rely on the multidimensional stationary phase approximation in the scaling limit. We also test the quasiparticle predictions against exact numerical calculations, and find excellent agreement. In the case of three blocks, we show that the tripartite information vanishes when at least two blocks are adjacent. © 2023 The Author(s). Published by IOP Publishing Ltd.","disjoint intervals; entanglement dynamics; XY spin chain",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151574874&doi=10.1080%2f07853890.2023.2193424&partnerID=40&md5=ae6a9143581b142e51b90a85d56e5bab","OBJECTIVE: The purpose of this meta-analysis was to evaluate the postoperative clinical outcomes of elderly patients who underwent the direct anterior approach (DAA) versus those who received posterolateral approach (PLA) for total hip arthroplasty (THA) in the treatment of femoral neck fractures. METHODS: An electronic search was conducted in databases including PubMed, Embase, Web of Science, the Cochrane Library, and CNKI from their inception to January 2022. We calculated the odds ratio (OR) and mean difference (MD) with 95% confidence intervals (CIs) to assess the effect of DAA compared to PLA for the management of total hip arthroplasty (THA) in elderly patients using the dichotomous or continuous method with a random or fixed-effect model. RESULTS: 15 studies involving 1284 patients were included; 640 patients receiving DAA and 644 patients receiving PLA. DAA had a longer surgery duration than PLA [WMD = 9.41, 95% CI (4.64, 14.19), I2=95.5%]; The amount of postoperative drainage [WMD= -3.88, 95% CI (-5.59, -2.17), I2=98.3%], length of incision [WMD= -3.88, 95% CI (-5.59, -2.17), I2=98.3%], blood loss [WMD= -3.88, 95% CI (-5.59, -2.17), I2=98.3%], hospitalization time [WMD= -3.88, 95% CI (-5.59, -2.17), I2=98.3%], and postoperative bedtime [WMD = -5.56,95% CI (-7.11, -4.01), I2=99.0%], were similar between the two groups (p < 0.05). The HHS at 1 month, 12 months postoperatively [WMD = 7.58, 95%CI (5.70,9.46), I2=89.5%; WMD= 2.56, 95%CI 0.11,5.00, I2=93.2%] and the incidence of LFCN in patients were higher in the DAA group (OR = 2.91, 95% CI 1.26 to 6.71, I2=0.0%), while fewer patients in the DAA group suffered from postoperative dislocation than in the PLA group (OR = 0.26, 95% CI 0.11 to 0.60, I2=0.0%). No significant difference was observed in HHS at 1 week, 3 months, and 6 months postoperatively, VAS postoperatively at each time point, acetabular anteversion angle, acetabular abduction angle, wound infection, deep vein thrombosis, and intraoperative fracture (p > 0.05). CONCLUSIONS: DAA offers a quicker functional recovery and is less invasive with an earlier return to daily activities in older THA patients than PLA. However, DAA was found to be associated with a high incidence of lateral femoral cutaneous nerve injury and a low incidence of postoperative dislocation.Key messagesThe present study aims to evaluate the clinical outcomes in elderly patients receiving DAA versus PLA for THA in the treatment of femoral neck fractures by mate-analysis.DAA offers a quicker functional recovery and is less invasive with an earlier return to daily activities in older THA patients. No significant difference was observed between the colchicine and comparators in terms of the need for HHS at 1 week, 3 months, and 6 months postoperatively, VAS postoperatively, acetabular anteversion angle, acetabular abduction angle, and complications (wound infection, deep vein thrombosis, and intraoperative fracture).","Direct anterior approach; meta-analysis; posterolateral approach; total hip arthroplasty","antivirus agent; adverse event; aged; femoral neck fracture; hip replacement; human; meta analysis; procedures; treatment outcome; vein thrombosis; Aged; Antiviral Agents; Arthroplasty, Replacement, Hip; Femoral Neck Fractures; Humans; Treatment Outcome; Venous Thrombosis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151185112&doi=10.1038%2fs41598-023-32457-z&partnerID=40&md5=455bca540225d0c67fe42c6783f4703e","Colorectal cancer (CRC) is the third most prevalent one in the world among the most common malignant tumors. Numerous studies have shown that butyrate has demonstrated promise as an antitumor agent in a variety of human cancer types. However, butyrate remains understudied in CRC tumorigenesis and progression. In this study, we explored therapeutic strategies to treat CRC by examining the role of butyrate metabolism. First, from the Molecular Signature Database (MSigDB), we identified 348 butyrate metabolism-related genes (BMRGs). Next, we downloaded 473 CRC and 41 standard colorectal tissue samples from The Cancer Genome Atlas (TCGA) database and the transcriptome data of GSE39582 dataset from Gene Expression Omnibus (GEO) database. Then we evaluated the expression patterns of butyrate metabolism-related genes with difference analysis in CRC. Through univariate Cox regression and least absolute shrinkage and selection operator (LASSO) analysis, a prognostic model was constructed based on differentially expressed BMRGs. In addition, we discovered an independent prognostic marker for CRC patients. According to the expression levels and coefficients of identified BMRGs, the risk scores of all CRC samples were calculated. Utilizing differentially expressed genes in the high- and low-risk groups, we also constructed a Protein–Protein Interaction (PPI) network to visualize the interactions between proteins. Through the results of PPI network, we screened out differentially expressed target butyrate metabolism-related genes from ten hub genes. Finally, we performed clinical correlation analysis, immune cell infiltration analysis, and mutation analysis for these target genes. One hundred and seventy three differentially expressed butyrate metabolism-related genes were screened out in all the CRC samples. The prognostic model was established with univariate Cox regression and LASSO regression analysis. CRC patients’ overall survival was significantly lower in the high-risk group than in the low-risk group for both training and validation set. Among the ten hub genes identified from the PPI network, four target butyrate metabolism-related genes were identified containing FN1, SERPINE1, THBS2, and COMP, which might provide novel markers or targets for treating CRC patients. Eighteen butyrate metabolism-related genes were used to develop a risk prognostic model that could be helpful for doctors to predict CRC patients’ survival rate. Using this model, it is beneficial to forecast the response of CRC patients to immunotherapy and chemotherapy, thus making it easier to custom tailor cancer chemotherapy and immunotherapy to the individual patient. © 2023, The Author(s).",,"butyric acid derivative; carcinogenesis; colorectal tumor; genetics; human; immunotherapy; regulator gene; Butyrates; Carcinogenesis; Colorectal Neoplasms; Genes, Regulator; Humans; Immunotherapy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150917957&doi=10.1186%2fs40723-023-00112-9&partnerID=40&md5=0b9a4d3fd38d005ed2aa85472cebf982","The long-term impact of prekindergarten programs is an important consideration given the trend of dedicating more resources to these programs. However, long-term impact of prekindergarten programs is not well-understood and recent studies have shown preschool effectiveness can vary across states and programs. A state run prekindergarten program in New Mexico was examined using propensity score matching to minimize selection bias. The research revealed a number of long-term impacts corresponding with prekindergarten participation for the cohort including a 9.7 percentage point increase in high school graduation rates and improved reading and math proficiency at third, sixth, and eighth grades. Considerations for future research and challenges in implementing prekindergarten programs are discussed. © 2023, The Author(s).","Early childhood education; Education; Prekindergarten; Preschool; Principal component analysis",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150894353&doi=10.1038%2fs41539-023-00156-z&partnerID=40&md5=e556b7cdf92fc17317bff02b6e452c50","Math-anxious people consistently underperform in math. The most widely accepted explanation for why this underperformance occurs is that math-anxious people experience heightened anxiety when faced with math, and this in-the-moment anxiety interferes with performance. Surprisingly, this explanation has not been tested directly. Here, using both self-report and physiological indices of anxiety, we directly test how much in-the-moment anxiety explains math-anxious underperformance. Results indicate that in-the-moment anxiety indeed explains why math-anxious people underperform—but only partially, suggesting a need to seriously consider alternative mechanisms. Results also showed that while some highly math-anxious individuals—those with high levels of heart rate variability—experienced less in-the-moment anxiety, they nevertheless performed no better at math. For these individuals, math-anxious underperformance must occur for reasons unrelated to in-the-moment anxiety. More broadly, our findings point to substantial individual heterogeneity in the mechanisms underlying math-anxious underperformance. Accounting for this mechanistic heterogeneity may prove vital for optimally boosting math performance in math-anxious individuals. © 2023, The Author(s).",,
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150819378&doi=10.1186%2fs12903-023-02837-y&partnerID=40&md5=c10d18e65b07255756e72f5c6da8daed","Background: Age is important in forming the uniqueness of individuals. When chronological age is not available, age estimation is required, particularly in court cases. The mineralization chronology of permanent teeth is a valuable tool for age estimation of subadults. This study aimed to evaluate the mineralization stages of permanent teeth of Brazilian subjects from imaging exams, using the classification by Moorrees et al. modified by the authors, to verify the existence of correlation between the chronology of mineralization stages and sex and to prepare numerical tables of the chronology of dental mineralization stages for Brazilian individuals. Methods: Digital panoramic radiographs of 1100 living Brazilian individuals of both sexes, aged between 2 and 25 years, born between 1990 and 2018, from the image bank of a Dental Radiographs and Documentations clinic located in the city of Araraquara, SP, Brazil. The images were evaluated according to the level of crown and root development and classified according to the stages proposed by Moorrees et al. (Am J Phys Anthropol 21: 205–213, 1963) adapted by the authors. All analyses were performed in the R software. Descriptive and exploratory analyses were performed on all data. For intra- and inter-examiner analyses, the rate of agreement and Kappa statistics at a 95% confidence interval were used. Kappa was interpreted according to Landis and Koch. Results: Only upper and lower canines showed significant differences between the sexes (p < 0.05), with higher average ages for men. The findings were presented in tables, as well as age estimates with 95% confidence intervals for each mineralization stage and each tooth. Conclusion: In the present study, we evaluated the mineralization stages of permanent teeth of Brazilian subjects from digital panoramic radiographs and found no correlation between the chronology of mineralization stages and sex, except for canines. From the obtained results, numerical tables of the chronology of dental mineralization stages were prepared. © 2023, The Author(s).","Age determination by teeth; Forensic anthropology; Forensic dentistry; Forensic sciences","animal; Brazil; dental age estimation; female; male; panoramic radiography; procedures; secondary dentition; tooth; Age Determination by Teeth; Animals; Brazil; Dentition, Permanent; Female; Male; Radiography, Panoramic; Tooth"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150751400&doi=10.1038%2fs42003-023-04672-x&partnerID=40&md5=3e8f88a821b0dee928cda6d46bec0f92","Urine marking is central to mouse social behavior. Males use depletable and costly urine marks in intrasexual competition and mate attraction. We investigate how males alter signaling decisions across variable social landscapes using thermal imaging to capture spatiotemporal marking data. Thermal recording reveals fine-scale adjustments in urinary motor patterns in response to competition and social odors. Males demonstrate striking winner-loser effects in scent mark allocation effort and timing. Competitive experience primes temporal features of marking and modulates responses to scent familiarity. Males adjust signaling effort, mark latency, and marking rhythm, depending on the scent identities in the environment. Notably, recent contest outcome affects how males respond to familiar and unfamiliar urine. Winners increase marking effort toward unfamiliar relative to familiar male scents, whereas losers reduce marking effort to unfamiliar but increase to familiar rival scents. All males adjust their scent mark timing after a contest regardless of fight outcome, and deposit marks in more rapid bursts during marking bouts. In contrast to this dynamism, initial signal investment predicts aspects of scent marking days later, revealing the possibility of alternative marking strategies among competitive males. These data show that mice flexibly update their signaling decisions in response to changing social landscapes. © 2023, The Author(s).",,"fragrance; pheromone; animal; animal behavior; male; mouse; physiology; social behavior; social environment; Animals; Behavior, Animal; Male; Mice; Odorants; Pheromones; Social Behavior; Social Environment"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150315746&doi=10.1186%2fs13071-023-05711-6&partnerID=40&md5=2d134d8c775e3825f7cdf773c9e2a355","Background: Aedes aegypti is a vector that transmits various viral diseases, including dengue and Zika. The radiation-based sterile insect technique (SIT) has a limited effect on mosquito control because of the difficulty in irradiating males without reducing their mating competitiveness. In this study, the insect sex pheromone heptacosane was applied to Ae. aegypti males to investigate whether it could enhance the mating competitiveness of irradiated males. Methods: Heptacosane was smeared on the abdomens of Ae. aegypti males that were allowed to mate with untreated virgin females. The insemination rate was used to assess the attractiveness of heptacosane-treated males to females. The pupae were irradiated with different doses of X-rays and γ-rays, and the emergence, survival time, egg number, and hatch rate were detected to find the optimal dose of X-ray and γ-ray radiation. The males irradiated at the optimal dose were smeared with heptacosane, released in different ratios with untreated males, and mated with females. The effect of heptacosane on the mating competitiveness of irradiated mosquitoes was then evaluated by the hatch rate, induced sterility, and mating competitiveness index. Results: Applying heptacosane to Ae. aegypti males significantly increased the insemination rate of females by 20%. Pupal radiation did not affect egg number but significantly reduced survival time and hatch rate. The emergence of the pupae was not affected by X-ray radiation but was affected by γ-ray radiation. Pupae exposed to 60 Gy X-rays and 40 Gy γ-rays were selected for subsequent experiments. After 60 Gy X-ray irradiation or 40 Gy γ-ray irradiation, the average hatch rate was less than 0.1%, and the average survival time was more than 15 days. Moreover, at the same release ratio, the hatch rate of the irradiated group perfumed with heptacosane was lower than that of the group without heptacosane. Conversely, the male sterility and male mating competitiveness index were significantly increased due to the use of heptacosane. Conclusions: The sex pheromone heptacosane enhanced the interaction between Ae. aegypti males and females. Perfuming males irradiated by X-rays or γ-rays with heptacosane led to a significant increase in mating competitiveness. This study provided a new idea for improving the application effect of SIT. Graphical Abstract: [Figure not available: see fulltext.]. © 2023, The Author(s).","Aedes aegypti; Heptacosane; Male mating competitiveness; Sterile insect technique; X-ray; γ-ray","sex pheromone; Aedes; animal; female; human; male; male infertility; mosquito vector; pupa; radiation response; reproduction; sexual behavior; Zika fever; Zika virus; Aedes; Animals; Female; Humans; Infertility, Male; Male; Mosquito Vectors; Pupa; Reproduction; Sex Attractants; Sexual Behavior, Animal; Zika Virus; Zika Virus Infection"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150218639&doi=10.1186%2fs40536-023-00157-9&partnerID=40&md5=172c717e70b3e1644b928049aeb77f49","Background: Mode effects, the variations in item and scale properties attributed to the mode of test administration (paper vs. computer), have stimulated research around test equivalence and trend estimation in PISA. The PISA assessment framework provides the backbone to the interpretation of the results of the PISA test scores. However, an identified gap in the current literature is whether mode effects have affected test score interpretation as defined by the assessment framework, and whether the interpretations of the PBA and CBA test scores are comparable. Methods: This study uses the 2015 PISA field trial data from thirteen countries to compare test modes through a construct representation approach. It is investigated whether item facets defined by the assessment framework (e.g., different cognitive demands) affect item difficulty comparably across modes using a unidimensional two-group generalized partial credit model (GPCM). Results: Linking the assessment framework to item difficulty using linear regression showed that for both maths and science domains, item categorisation relates to item difficulty, however for the reading domain no such conclusion was possible. In comparing PBA to CBA in representations across the three domains, maths had one facet with a significant difference in representation, reading had all three facets significantly different, and for science, four out of six facets had significant differences. Modelling items labelled “mode invariant” in PISA 2015, the results indicated that in every domain, two facets showed significant differences between the test modes. The graphical inspection of difficulty patterns confirmed that reading shows stronger differences while the patterns of the other domains were quite consistent between modes. Conclusions: The present study shows that the mode effects on difficulty vary within the task facets proposed by the PISA assessment framework, in particular for reading. These findings shed light on whether the comparability of score interpretation between modes is compromised. Given the limitations of the link between the reading domain and item difficulty, any conclusions in this domain are limited. Importantly, the present study adds a new approach and empirical findings to the investigation of the cross-mode equivalence in PISA domains. © 2023, The Author(s).","Assessment framework; Construct representation; Generalized partial credit model; Item facets; Mode effects; PISA",
